result_id,claim,dataset,split,metric,method,value,unit,ci95_low,ci95_high,uncertainty,artifact_source,classification,note
R001,ARC1 baseline reproduction,ARC1,all,puzzle_count,B1,400,puzzles,,,,results/provenance/cache_completion.json,PRIMARY,
R002,ARC1 baseline reproduction,ARC1,all,descriptor_count,B1,419,descriptors,,,,results/provenance/cache_completion.json,PRIMARY,
R003,ARC1 baseline reproduction,ARC1,all,candidate_count,B1,385815,emissions,,,,results/provenance/cache_completion.json,PRIMARY,
R004,ARC1 baseline reproduction,ARC1,all,invalid_prediction_count,B1,92,emissions,,,,results/provenance/cache_completion.json,PRIMARY,
R005,ARC1 baseline reproduction,ARC1,all,online_B1,pinned upstream,0.4,fraction,,,,results/provenance/cache_completion.json,PRIMARY,EXACT BASELINE REPRODUCTION
R006,ARC1 baseline reproduction,ARC1,all,cache_B1,cache recomputation,0.4,fraction,,,,results/provenance/cache_completion.json,PRIMARY,EXACT BASELINE REPRODUCTION
R007,ARC1 baseline reproduction,ARC1,all,published_verification,published reference,0.4,fraction,,,,results/provenance/cache_completion.json,PRIMARY,EXACT BASELINE REPRODUCTION
R008,Committed puzzle split,ARC1,dev,puzzle_count,split,200,puzzles,,,,results/arc1_main/committed_split.json,PRIMARY,
R009,Committed puzzle split,ARC1,dev,descriptor_count,split,208,descriptors,,,,results/arc1_main/committed_split.json,PRIMARY,
R010,Committed puzzle split,ARC1,test,puzzle_count,split,200,puzzles,,,,results/arc1_main/committed_split.json,PRIMARY,
R011,Committed puzzle split,ARC1,test,descriptor_count,split,211,descriptors,,,,results/arc1_main/committed_split.json,PRIMARY,
R012,Committed puzzle split,ARC1,dev/test,puzzle_overlap,split,0,puzzles,,,,results/arc1_main/committed_split.json,PRIMARY,
R013,Frozen held-out methods,ARC1,test,rank1_accuracy,B0,0.2925,fraction,,,,results/arc1_main/main_test_results.csv,PRIMARY,
R014,Frozen held-out methods,ARC1,test,top2_accuracy,B0,0.2925,fraction,,,,results/arc1_main/main_test_results.csv,PRIMARY,
R015,Frozen held-out methods,ARC1,test,rank1_accuracy,B1,0.4025,fraction,,,,results/arc1_main/main_test_results.csv,PRIMARY,
R016,Frozen held-out methods,ARC1,test,top2_accuracy,B1,0.455,fraction,,,,results/arc1_main/main_test_results.csv,PRIMARY,
R017,Frozen held-out methods,ARC1,test,rank1_accuracy,M1,0.4025,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R018,Frozen held-out methods,ARC1,test,top2_accuracy,M1,0.455,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R019,Frozen held-out methods,ARC1,test,rank1_accuracy,M1+M2,0.4125,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R020,Frozen held-out methods,ARC1,test,top2_accuracy,M1+M2,0.44,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R021,Frozen held-out methods,ARC1,test,rank1_accuracy,M1+M2+M3,0.4125,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R022,Frozen held-out methods,ARC1,test,top2_accuracy,M1+M2+M3,0.44,fraction,,,,results/arc1_main/main_test_results.csv,NEGATIVE,
R023,Frozen hyperparameters,ARC1,dev,M1_centrality,frozen selector,distinct,setting,,,,results/arc1_main/frozen_hyperparameters.json,PRIMARY,selected on DEV only
R024,Frozen hyperparameters,ARC1,dev,M1_beta,frozen selector,1.0,setting,,,,results/arc1_main/frozen_hyperparameters.json,PRIMARY,selected on DEV only
R025,Frozen hyperparameters,ARC1,dev,M2_lambda,frozen selector,0.05,setting,,,,results/arc1_main/frozen_hyperparameters.json,PRIMARY,selected on DEV only
R026,Frozen hyperparameters,ARC1,dev,M2_epsilon,frozen selector,1e-06,setting,,,,results/arc1_main/frozen_hyperparameters.json,PRIMARY,selected on DEV only
R027,Frozen hyperparameters,ARC1,dev,M2_marginal_support,frozen selector,emitted,setting,,,,results/arc1_main/frozen_hyperparameters.json,PRIMARY,selected on DEV only
R028,Main paired bootstrap,ARC1,test,rank1_delta_vs_B1,M1,0.0,fraction,0.0,0.0,"10,000 paired puzzle bootstrap",results/arc1_main/paired_bootstrap_cis.csv,NEGATIVE,two-sided p-style=1.0
R029,Main paired bootstrap,ARC1,test,rank1_delta_vs_B1,M1+M2,0.01,fraction,0.0,0.025,"10,000 paired puzzle bootstrap",results/arc1_main/paired_bootstrap_cis.csv,NEGATIVE,two-sided p-style=0.2663733626637336
R030,Main paired bootstrap,ARC1,test,rank1_delta_vs_B1,M1+M2+M3,0.01,fraction,0.0,0.025,"10,000 paired puzzle bootstrap",results/arc1_main/paired_bootstrap_cis.csv,NEGATIVE,two-sided p-style=0.263973602639736
R031,Main paired bootstrap,ARC1,test,top2_delta_vs_B1,M1+M2,-0.015,fraction,-0.035,0.0,"10,000 paired puzzle bootstrap",results/arc1_main/paired_bootstrap_cis.csv,NEGATIVE,two-sided p-style=0.09919008099190081
R032,Candidate-generation/selection gap,ARC1,all,pass_at_k,k=50,0.520875,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R033,Candidate-generation/selection gap,ARC1,all,majority_at_k,k=50,0.392875,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R034,Candidate-generation/selection gap,ARC1,all,selection_gap,k=50,0.128,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R035,Candidate-generation/selection gap,ARC1,all,pass_at_k,k=250,0.579125,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R036,Candidate-generation/selection gap,ARC1,all,majority_at_k,k=250,0.400875,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R037,Candidate-generation/selection gap,ARC1,all,selection_gap,k=250,0.17825,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R038,Candidate-generation/selection gap,ARC1,all,pass_at_k,k=1000,0.6175,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R039,Candidate-generation/selection gap,ARC1,all,majority_at_k,k=1000,0.4,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R040,Candidate-generation/selection gap,ARC1,all,selection_gap,k=1000,0.2175,fraction,,,,results/arc1_main/selection_gap.csv,PRIMARY,
R041,Coverage-conditioned selection,ARC1,test,candidate_coverage,orbit,0.6175,fraction,,,,results/arc1_main/coverage_conditioned_results.csv,PRIMARY,
R042,Coverage-conditioned selection,ARC1,test,rank1_given_coverage,B1,0.6532258064516129,fraction,,,,results/arc1_main/coverage_conditioned_results.csv,PRIMARY,
R043,Coverage-conditioned selection,ARC1,test,rank1_given_coverage,M1+M2,0.6693548387096774,fraction,,,,results/arc1_main/coverage_conditioned_results.csv,PRIMARY,
R044,Task-level structural defect,ARC1,test,failure_AUROC,defect,0.8418617947451856,area,,,,results/arc1_main/h1_auroc_results.csv,PRIMARY,
R045,Task-level structural defect,ARC1,all,failure_AUROC,defect,0.8215755208333333,area,,,,results/arc1_main/h1_auroc_results.csv,PRIMARY,
R046,Task-level structural defect,ARC1,all,defect_correctness_correlation,defect,-0.3561751889305399,correlation,,,,results/arc1_main/h1_auroc_results.csv,PRIMARY,
R047,Task-level structural defect,ARC1 blank-ID,test,failure_AUROC,defect,0.7708333333333334,area,,,,results/arc1_blank_ablation/defect_auroc.csv,ABLATION,
R048,Task-level structural defect,ARC2,all,failure_AUROC,defect,0.8279174330676476,area,,,,results/arc2_supporting/defect_auroc.csv,SUPPORTING,
R049,Local top-mode structural signal,ARC1,dev,covered_puzzles,M1 centrality,124,puzzles,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R050,Local top-mode structural signal,ARC1,dev,covered_descriptors,M1 centrality,131,descriptors,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R051,Local top-mode structural signal,ARC1,dev,top2_pooled_AUROC,M1 centrality,0.5451182454749637,area,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R052,Local top-mode structural signal,ARC1,dev,top2_pairwise_accuracy,M1 centrality,0.7469135802469136,fraction,0.654320987654321,0.8333333333333334,"10,000 puzzle bootstrap",results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R053,Local top-mode structural signal,ARC1,dev,top5_pooled_AUROC,M1 centrality,0.5491473096148192,area,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R054,Local top-mode structural signal,ARC1,dev,top5_within_puzzle_AUROC,M1 centrality,0.729868913857678,area,0.6643258426966292,0.7940074906367042,"10,000 puzzle bootstrap",results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R055,Local top-mode structural signal,ARC1,dev,covered_B1_failure_puzzles,M1 centrality,46,puzzles,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R056,Local top-mode structural signal,ARC1,dev,correct_alternative_preferred,M1 centrality,14,puzzle-equivalents,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R057,Local top-mode structural signal,ARC1,dev,wrong_B1_preferred,M1 centrality,32,puzzle-equivalents,,,,results/top_mode_diagnostic/top_mode_summary.json,SECONDARY,
R058,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=-16,0.28,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R059,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=-8,0.325,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R060,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=-4,0.3925,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R061,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=-2,0.3925,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R062,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=-1,0.3975,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R063,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=0,0.3975,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R064,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=1,0.4025,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R065,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=2,0.4025,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R066,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=4,0.4025,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R067,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=8,0.3975,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R068,M1 beta diagnostic,ARC1,dev,rank1_accuracy,distinct beta=16,0.39,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.csv,SECONDARY,
R069,M1 beta diagnostic,ARC1,dev,beta1_changed_decisions,distinct,6,puzzle-equivalents,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R070,M1 beta diagnostic,ARC1,dev,beta1_fixes,distinct,1,puzzle-equivalents,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R071,M1 beta diagnostic,ARC1,dev,beta1_breaks,distinct,0,puzzle-equivalents,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R072,M1 beta diagnostic,ARC1,dev,beta_flip_q25,distinct,63.29631604288519,beta,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R073,M1 beta diagnostic,ARC1,dev,beta_flip_median,distinct,248.37414325754463,beta,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R074,M1 beta diagnostic,ARC1,dev,beta_flip_q75,distinct,993.9686545057837,beta,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R075,M1 beta diagnostic,ARC1,dev,beta_flip_fraction_le_16,distinct,0.08333333333333333,fraction,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R076,M1 beta diagnostic,ARC1,dev,beta16_net_gain,distinct,-1.5,puzzle-equivalents,,,,results/m1_beta_diagnostic/m1_beta_summary.json,SECONDARY,MIXED / NON-MONOTONIC
R077,Background dominance,ARC1,dev,covered_top_mode_similarity_median,descriptive,0.96,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R078,Background dominance,ARC1,dev,covered_top_mode_disagreement_median,descriptive,0.04,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R079,Background dominance,ARC1,dev,covered_top_mode_fraction_ge_90pct_agreement,descriptive,0.7288135593220338,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R080,Background dominance,ARC1,dev,covered_top_mode_dominant_color_occupancy_median,descriptive,0.6026315789473684,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R081,Background dominance,ARC1,dev,covered_top_mode_agreement_explained_by_dominant_color_median,descriptive,0.6085810668353362,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R082,Background dominance,ARC1,dev,B1_failure_similarity_median,descriptive,0.96,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R083,Background dominance,ARC1,dev,B1_failure_disagreement_median,descriptive,0.04,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R084,Background dominance,ARC1,dev,B1_failure_dominant_color_occupancy_median,descriptive,0.6681072428971588,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,SECONDARY,
R085,Discriminative-cell DEV experiment,ARC1,dev,rank1_accuracy,B1 beta=0,0.3975,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,DEV ONLY; AMBIGUOUS / NO-GO FOR TEST
R086,Discriminative-cell DEV experiment,ARC1,dev,rank1_accuracy,original_M1 beta=1,0.4025,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,DEV ONLY; AMBIGUOUS / NO-GO FOR TEST
R087,Discriminative-cell DEV experiment,ARC1,dev,rank1_accuracy,discriminative_M1 beta=1,0.4,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,DEV ONLY; AMBIGUOUS / NO-GO FOR TEST
R088,Discriminative-cell DEV experiment,ARC1,dev,rank1_accuracy,discriminative_M1 beta=4,0.3875,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,DEV ONLY; AMBIGUOUS / NO-GO FOR TEST
R089,Discriminative-cell DEV experiment,ARC1,dev,original_correct_preference,discriminative diagnostic,0.30434782608695654,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R090,Discriminative-cell DEV experiment,ARC1,dev,original_wrong_preference,discriminative diagnostic,0.6956521739130435,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R091,Discriminative-cell DEV experiment,ARC1,dev,discriminative_correct_preference,discriminative diagnostic,0.45652173913043476,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R092,Discriminative-cell DEV experiment,ARC1,dev,discriminative_wrong_preference,discriminative diagnostic,0.34782608695652173,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R093,Discriminative-cell DEV experiment,ARC1,dev,discriminative_tie_fraction,discriminative diagnostic,0.1956521739130435,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R094,Discriminative-cell DEV experiment,ARC1,dev,original_top5_pairwise_accuracy,discriminative diagnostic,0.729868913857678,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R095,Discriminative-cell DEV experiment,ARC1,dev,discriminative_top5_pairwise_accuracy,discriminative diagnostic,0.5994850187265918,fraction,,,,results/discriminative_cell_dev/discriminative_cell_summary.json,NEGATIVE,No TEST evaluation performed
R096,Top-2 policy audit,ARC1,test,committed_top2_accuracy,B1,0.455,fraction,,,,results/top2_policy_audit/top2_policy_summary.csv,NEGATIVE,
