task_id,puzzle_id,pair_index,emitted_candidates,invalid_candidates_before,allowed_shapes,shape_rule_count,filter_active,retained_candidates,filtered_candidates,filter_fraction,invalid_candidates_retained,used_empty_filter_fallback,target_shape_allowed,plain_modal_shape,screened_modal_shape,covered
009d5c81#0,009d5c81,0,1001,2,"[[14, 14]]",2,1,24,977,0.9760239760239761,0,0,1,"[5, 7]","[14, 14]",0.0
00dbd492#0,00dbd492,0,1001,0,"[[20, 20]]",1,1,1001,0,0.0,0,0,1,"[20, 20]","[20, 20]",0.0
0692e18c#0,0692e18c,0,1001,0,"[[9, 9]]",2,1,1001,0,0.0,0,1,1,"[15, 15]","[15, 15]",0.0
070dd51e#0,070dd51e,0,1001,0,"[[20, 20]]",1,1,1001,0,0.0,0,0,1,"[20, 20]","[20, 20]",1.0
0934a4d8#0,0934a4d8,0,1001,0,[],0,0,1001,0,0.0,0,0,0,"[9, 4]","[9, 4]",0.0
09c534e7#0,09c534e7,0,1001,0,"[[30, 30]]",1,1,1001,0,0.0,0,0,1,"[30, 30]","[30, 30]",1.0
0c786b71#0,0c786b71,0,1001,10,"[[6, 8]]",2,1,240,761,0.7602397602397603,0,0,1,"[3, 4]","[6, 8]",0.0
0e671a1a#0,0e671a1a,0,1001,0,"[[13, 13]]",2,1,883,118,0.11788211788211789,0,0,1,"[13, 13]","[13, 13]",0.0
103eff5b#0,103eff5b,0,1001,0,"[[16, 26]]",1,1,843,158,0.15784215784215783,0,0,1,"[16, 26]","[16, 26]",0.0
12422b43#0,12422b43,0,1001,0,"[[10, 7]]",1,1,1000,1,0.0009990009990009652,0,0,1,"[10, 7]","[10, 7]",0.0
12997ef3#0,12997ef3,0,1001,0,[],0,0,1001,0,0.0,0,0,0,"[3, 7]","[3, 7]",0.0
12997ef3#1,12997ef3,1,1001,0,[],0,0,1001,0,0.0,0,0,0,"[3, 6]","[3, 6]",0.0
136b0064#0,136b0064,0,1001,0,[],0,0,1001,0,0.0,0,0,0,"[19, 7]","[19, 7]",0.0
13713586#0,13713586,0,1001,0,"[[19, 18]]",1,1,709,292,0.2917082917082917,0,0,1,"[19, 18]","[19, 18]",1.0
15113be4#0,15113be4,0,1001,1,"[[23, 23]]",2,1,5,996,0.995004995004995,0,0,1,"[4, 5]","[23, 23]",0.0
15663ba9#0,15663ba9,0,1001,0,"[[15, 16]]",1,1,962,39,0.038961038961038974,0,0,1,"[15, 16]","[15, 16]",0.0
16b78196#0,16b78196,0,1001,0,"[[30, 30]]",2,1,981,20,0.01998001998001997,0,0,1,"[30, 30]","[30, 30]",0.0
18419cfa#0,18419cfa,0,576,0,"[[28, 26]]",1,1,30,546,0.9479166666666666,0,0,1,"[3, 5]","[28, 26]",0.0
184a9768#0,184a9768,0,1001,1,"[[25, 26]]",1,1,55,946,0.945054945054945,0,0,1,"[10, 26]","[25, 26]",0.0
1990f7a8#0,1990f7a8,0,72,0,"[[7, 7]]",1,1,16,56,0.7777777777777778,0,0,1,"[7, 7]","[7, 7]",0.0
19bb5feb#0,19bb5feb,0,1001,0,"[[2, 2]]",1,1,1001,0,0.0,0,1,1,"[8, 9]","[8, 9]",0.0
1a2e2828#0,1a2e2828,0,1001,0,"[[1, 1]]",1,1,1001,0,0.0,0,1,1,"[6, 7]","[6, 7]",0.0
1a6449f1#0,1a6449f1,0,1001,2,[],0,0,1001,0,0.0,2,0,0,"[5, 5]","[5, 5]",0.0
1c02dbbe#0,1c02dbbe,0,1001,0,"[[15, 15]]",2,1,977,24,0.02397602397602394,0,0,1,"[15, 15]","[15, 15]",0.0
1c0d0a4b#0,1c0d0a4b,0,576,0,"[[13, 13]]",1,1,568,8,0.01388888888888884,0,0,1,"[13, 13]","[13, 13]",0.0
1c56ad9f#0,1c56ad9f,0,1001,0,"[[15, 15]]",1,1,1001,0,0.0,0,0,1,"[15, 15]","[15, 15]",0.0
1da012fc#0,1da012fc,0,1001,0,"[[19, 25]]",1,1,636,365,0.3646353646353646,0,0,1,"[19, 25]","[19, 25]",1.0
1e81d6f9#0,1e81d6f9,0,1001,0,"[[15, 15]]",2,1,437,564,0.5634365634365635,0,0,1,"[15, 15]","[15, 15]",0.0
